,,
,VCC,3V
,GND,GND
,CS,2
,RESET,4
,DC,26
,SDI(MOSI),23
,SCK,18
,LED,VIN
,SDO(MISO),-
,T_CLK,18
,T_CS,5
,C_DIN,23
,D_DO,19
,D_IRQ,25
